fid_1,final_yield
397,49.4881096
398,56.9019585
399,53.8705406
400,54.8748016
401,52.1479492
402,51.0629196
403,50.1767197
404,51.9402084
405,52.1789703
406,51.8698196
407,51.8004112
408,53.2668114
409,51.115139
410,47.3955917
411,49.4126205
412,53.3177986
413,56.3347511
414,53.8542595
415,51.6915817
416,47.1860199
417,53.6458206
418,50.2990494
419,49.9715195
420,49.1668015
421,44.807991
422,39.0346298
423,43.9017715
424,37.8569908
425,34.8519096
426,38.1644783
427,48.1627007
428,49.661911
429,43.0965385
430,27.7851505
431,29.4808102
432,25.2014694
433,14.9287004
434,31.0938606
435,44.929081
436,49.9729691
437,45.2981415
438,43.6003685
439,39.6752586
440,49.2288704
441,54.6104813
442,60.1384315
443,60.037281
444,61.4449615
445,57.5740013
446,59.3881302
447,55.3081017
448,55.3599701
449,53.5371513
450,48.1413918
451,52.9724617
452,61.5384293
453,65.4192429
454,60.7301483
455,63.4773903
456,59.3429718
457,54.1310387
458,65.1191177
459,54.6910286
460,60.7006111
461,65.8778534
462,65.6146774
463,60.0401497
464,63.006649
465,61.5445213
466,66.3189163
467,64.1591492
468,63.4657898
469,58.7671585
470,52.1818008
471,51.087429
472,52.9392204
473,56.8643684
474,60.3159714
475,55.4320793
476,51.2450485
477,51.7321091
478,54.3680305
479,48.2261314
480,45.65522
481,48.031971
482,50.0047493
483,52.6401787
484,53.1424294
485,45.4126892
486,48.4399414
487,49.6474609
488,43.0052299
489,41.02071
490,43.6203613
491,46.8537712
492,42.8972092
493,44.5625916
494,47.2599602
495,48.0965996
496,42.0461998
497,43.2140388
498,50.4880486
499,46.8318596
500,56.8207207
501,47.6094818
502,43.6941986
503,40.7154617
504,43.3709793
505,45.9791489
506,52.0287018
507,56.8481293
508,55.2841492
509,51.9119911
510,52.696949
511,42.0370789
512,47.52248
513,46.2496681
514,48.8395615
515,50.0300598
516,47.4259987
517,47.8714104
518,52.6533318
519,50.6993408
520,51.9091187
521,51.2532883
522,55.6336594
523,48.540741
524,51.601059
525,49.8058891
526,54.1194496
527,56.1875916
528,52.5414085
529,51.8113708
530,49.6170807
531,51.4206085
532,55.4727402
533,48.89394
534,45.4589882
535,50.9669914
536,53.8592682
537,39.6835403
538,27.7660007
539,34.8192291
540,21.7437897
541,28.8245792
542,43.9197884
543,36.0709
544,50.2094116
545,57.252491
546,60.9932098
547,61.9445114
548,65.7189484
549,63.3572006
550,67.7873993
551,59.4744606
552,58.4165916
553,64.5548401
554,53.6708412
555,47.2984695
556,46.3689995
557,54.7954102
558,45.7755203
559,52.8321495
560,61.8931198
561,58.4080505
562,61.7761612
563,50.987011
564,57.4641418
565,59.3593407
566,72.9394836
567,64.1825333
568,66.2095184
569,67.3906708
570,66.5799408
571,67.3135834
572,61.5281982
573,67.86866
574,62.8085098
575,58.7621918
576,61.8919296
577,60.7944107
578,56.4186096
579,54.9295692
580,53.7045898
581,55.9562607
582,59.0630188
583,57.1759682
584,60.8095398
585,58.9119492
586,55.3449516
587,53.9542885
588,47.1948395
589,53.9172897
590,45.7629204
591,42.9946899
592,47.81007
593,52.4892998
594,51.344799
595,49.386261
596,53.8221512
597,54.3537102
598,58.6552696
599,55.4124413
600,53.3130989
601,52.8821602
602,50.6562119
603,49.9114189
604,51.9488411
605,54.283741
606,55.5890617
607,50.9579697
608,39.2930412
609,37.6870117
610,37.936409
611,46.0106506
612,51.5410881
613,52.9668884
614,62.9522209
615,61.0191917
616,52.3894997
617,53.6496506
618,51.3672409
619,51.3685799
620,48.0136604
621,51.2115784
622,44.1456795
623,49.8318405
624,50.9320297
625,54.8131485
626,56.7117691
627,56.1369209
628,55.3141518
629,50.2657814
630,54.4299507
631,53.1307182
632,55.2123985
